# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 0.44900000 0.49122474 0.48600000 1.75720840 0.55200000 0.58544394 1.16100000 0.93884721 0.96200000 0.81712027
 3.98900000 4.04858262 2.23100000 1.87158929 4.63000000 4.64509675 2.01300000 2.00646891 3.74200000 2.92955394
 1.65600000 1.75287808 0.44200000 0.75735436 2.25100000 1.98273589 1.10800000 1.10870365 2.51400000 2.68101140
 1.54700000 1.55187070 4.52100000 4.49632304 1.45300000 1.37408925 1.58200000 1.35482661 2.00400000 1.84573242
 6.76400000 6.69983111 3.55600000 3.54450011 0.89900000 0.74565604 5.07300000 5.02686813 1.41600000 1.50720341
 0.30800000 0.43035544 4.00000000 3.92853978 3.79900000 3.93457585 3.32200000 3.54602180 0.73400000 0.79518902
 2.61100000 2.62892290 3.22300000 3.53798164 0.61500000 0.70475413 3.54300000 4.18694136 4.99800000 5.07800732
 3.50900000 3.76052814 2.81500000 2.70935816 3.41400000 3.37145910 0.01700000 0.28000229 2.97400000 2.98136252
 0.50700000 0.49737377 5.72400000 6.03903888 0.30600000 0.32081957 0.91400000 0.78751798 2.27600000 2.25944536
 2.53900000 2.52014745 3.95900000 3.98020837 3.92300000 4.08942042 3.94700000 3.99166957 1.84600000 1.86955852
 0.61500000 0.42431387 0.00600000 0.20617790 0.27200000 0.29029671 0.12200000 0.30254159 1.89400000 2.03512355
 0.04800000 -0.03990961 2.72600000 1.99867319 3.50900000 3.69921744 4.01100000 3.94043984 0.09300000 0.04096967
 0.83500000 0.83967835 0.04200000 -0.01004047 1.36900000 1.22359306 0.00700000 -0.12770956 5.07100000 5.06744251
 0.36700000 0.31374444 0.71800000 1.01070933 3.59600000 3.59405953 1.81800000 1.84745153 4.28500000 4.41378109
 4.18000000 4.13612584 1.14700000 1.13216292 0.00600000 -0.01294472 3.21400000 3.25464058 4.34200000 4.21955925
 0.90900000 0.88878888 2.55900000 2.92647701 0.50100000 0.58294286 4.22300000 4.20319208 0.32900000 0.30881844
 5.82500000 4.79343112 1.14900000 2.54642202 2.24600000 2.23616485 3.12800000 3.08781764 0.01300000 1.31742831
 0.22900000 0.69666296 1.19000000 1.17830774 0.44400000 0.51075747 0.00000000 -0.04270260 2.93700000 2.82146075
