# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 0.07000000 0.62690919 3.26900000 2.72986162 0.51500000 0.44392647 0.69900000 0.69669979 0.08200000 0.18301714
 0.95500000 0.96294083 0.00000000 0.16563483 1.03600000 0.75094286 3.96400000 4.00766756 2.35400000 2.41030572
 4.01800000 4.02726397 5.11300000 4.00833787 2.53800000 2.83813218 0.00500000 0.13332064 2.62400000 2.35789381
 1.53500000 1.55463247 4.29600000 3.99094198 3.01800000 2.78334500 1.27700000 1.28521592 1.76000000 1.73020280
 1.52100000 1.46947645 3.26200000 3.12501043 2.12600000 2.53070920 3.25800000 3.01175102 3.06400000 3.09582703
 3.53200000 3.77181451 0.65900000 0.81992056 1.45100000 1.19208766 1.27500000 1.23868010 0.70700000 0.63540995
 3.19600000 3.07142687 0.49900000 0.58416832 0.49400000 1.52830021 0.74800000 1.14884374 3.37900000 3.13064196
 2.52700000 2.54044653 3.66700000 3.51034371 1.52900000 1.42747898 3.75500000 3.70779081 2.06000000 1.87625173
 2.23400000 2.26122312 2.23200000 2.10779202 0.62500000 0.61612199 1.18300000 1.11670766 0.68100000 0.72133860
 3.08700000 2.98045431 5.72400000 5.58371639 1.76700000 1.99437056 1.01100000 1.10774308 0.55200000 0.62917608
 0.09300000 0.24302049 1.85900000 1.85117528 2.94900000 3.04702037 1.65600000 1.82583741 0.85900000 0.87296649
 0.67700000 0.65572705 0.52400000 0.71245019 1.75900000 1.78768767 0.32900000 0.35199113 3.85200000 3.70803356
 3.16500000 3.00164103 2.23900000 2.45819940 4.69800000 4.20519987 3.40500000 3.34213373 0.62500000 0.61049362
 2.84700000 2.86496093 2.75900000 2.67844077 2.46400000 2.44559200 2.65600000 2.60345240 1.84600000 1.85505757
 0.28100000 0.35405187 1.62500000 1.55588543 4.97000000 4.10034929 3.08600000 2.87651053 1.29400000 1.43828635
 0.62500000 0.61136650 3.26700000 3.28523904 3.30300000 3.28483252 1.55500000 1.50480694 5.87700000 4.72509439
 2.87100000 2.85601183 2.67000000 2.75568993 0.35500000 0.41756312 0.89400000 0.93684160 4.57700000 4.44826727
 0.88100000 0.84969254 2.23500000 2.15060669 0.12800000 0.59401641 0.83900000 1.01056998 3.12600000 3.17861886
 0.93700000 0.94605153 1.86200000 1.84804941 0.59100000 0.60920171 2.17800000 2.18041717 0.63900000 0.62326356
 2.41800000 2.48207388 1.25000000 1.36435934 0.12800000 0.12936579 1.55700000 1.52742824 1.12100000 1.19491604
 0.46100000 1.09884698 2.54100000 2.51937336 1.15200000 1.04258058 1.34100000 1.81471741 0.81700000 0.88932230
 4.76100000 4.44676810 0.03100000 0.12729917 1.41400000 1.66264882 0.96800000 0.96663256 4.07700000 3.98031850
 2.67100000 2.65734431 2.44100000 2.43394861 2.55900000 2.77107306 1.42400000 1.40868296 3.63200000 3.26731567
 0.02700000 0.37524581 0.21100000 0.31515840 2.34000000 2.29819040 0.21700000 0.39618295 3.67800000 3.66406642
