# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 1.30600000 1.28005605 4.07600000 3.91024482 2.06600000 1.90645581 4.78200000 4.74781064 1.13800000 0.89167721
 0.48600000 0.62806418 1.74100000 1.75683726 0.00700000 0.15684498 1.85100000 1.69383114 2.49500000 2.52582713
 3.63000000 3.50506903 0.69800000 0.31636937 0.03500000 0.00707355 2.95700000 2.87695977 0.07000000 0.17228714
 1.30500000 1.12896049 2.05000000 2.24488400 4.99100000 5.03831959 2.09200000 2.15475875 1.73700000 1.72971369
 1.02200000 1.11276554 1.36100000 1.38757402 0.38600000 0.35192743 3.19000000 3.08309807 3.20300000 3.23759993
 2.27100000 2.25447676 1.15300000 1.79352218 0.15300000 0.09685973 0.01000000 0.55280302 0.24800000 0.32902147
 0.80200000 1.17763819 0.22300000 0.31240231 2.79100000 2.79155520 1.36200000 1.26743694 2.07300000 3.67859045
 1.22800000 1.12047018 2.49100000 2.45019096 4.00500000 3.94226200 3.50200000 3.40165529 2.04400000 2.01440336
 0.08000000 0.66711721 2.83600000 2.73969906 1.07200000 1.03078082 4.46200000 4.68835538 0.72500000 1.58208132
 0.57700000 0.57924846 0.13600000 0.15248679 2.57200000 2.45520951 4.57700000 4.60139170 2.19400000 2.24027114
 0.84900000 2.75106200 4.08100000 4.08224769 2.18600000 1.95052138 1.44000000 1.75507596 3.61600000 3.49947736
 3.12300000 3.10443339 4.90300000 4.91363766 0.66700000 1.49117174 2.19300000 1.90490293 2.27100000 2.34794925
 2.09600000 2.20395703 1.05300000 0.81090292 0.81100000 0.71607929 0.04700000 0.04979922 5.17500000 5.16676817
 4.44300000 4.50950061 1.80000000 1.80331948 2.42800000 2.46629012 2.45300000 2.72783833 0.34100000 0.51826387
 2.82300000 2.79091317 1.11900000 1.19002941 0.67500000 0.70094827 0.82100000 0.73468779 2.12700000 2.09429215
 2.78000000 2.77861186 2.17200000 2.14812329 6.27900000 6.25954685 3.46800000 3.51076866 5.04700000 5.03416487
 2.85700000 2.69214353 2.53100000 2.54930333 1.37900000 1.47057656 0.18900000 0.12650086 0.91900000 0.90263530
 1.10000000 1.18742643 1.49400000 1.47019765 1.93400000 1.99509098 4.94900000 4.88050509 0.54900000 0.41265077
 1.58700000 1.68161316 2.94800000 3.55414932 4.86600000 4.86738786 7.16400000 6.15116550 3.18000000 3.22707217
 3.19800000 3.23229420 1.19800000 1.17511379 3.19800000 3.21771663 3.20700000 3.22020731 3.44300000 3.37561239
 4.45200000 4.59588296 2.73700000 2.71694661 0.01300000 0.03702752 5.71700000 4.95907823 1.82500000 1.90518912
 1.11900000 1.14672538 1.29700000 1.22681429 1.98400000 2.03089745 1.60400000 1.59899829 0.12900000 0.04990380
 0.43300000 0.35335427 1.43500000 1.35992037 2.75900000 2.55563149 5.68700000 5.90296169 3.43500000 3.45370151
 2.23900000 2.38979359 0.73700000 1.10008078 1.01900000 0.96732894 1.14900000 1.22474017 0.01300000 1.14520555
 1.60600000 1.65222730 4.35600000 4.49501425 3.27600000 3.21636225 4.02900000 3.87127484 0.71600000 0.69311060
 1.60600000 1.31627820 3.79000000 3.55960542 1.53600000 1.71349163 2.93700000 2.65939122 1.96000000 1.87104831
 0.04400000 -0.00721728 3.99700000 4.04458244 4.45200000 4.40614169 6.67800000 5.42619174 1.75900000 1.68337625
 1.88600000 1.83980826 1.30600000 1.36368054 4.04200000 4.03890266 5.22000000 5.21744395 3.32700000 3.30970284
 3.45200000 3.46438796 0.44500000 0.77905119 0.90400000 0.80691920 1.55800000 1.72251677 3.91100000 3.68313142
 4.04800000 4.09267590 2.41800000 2.51998239 0.72300000 0.90651790 1.68500000 1.80486173 1.20400000 1.18374121
 1.95400000 1.51617136 2.60700000 2.61659273 0.80300000 0.79178466 2.23100000 1.98440537 1.74900000 1.96253035
 1.52700000 1.39853598 2.91300000 2.95364204 4.92100000 4.96929568 0.37900000 0.45033149 6.26200000 6.35576065
 0.66600000 0.59558082 4.03700000 3.94424668 0.97000000 1.09131077 3.06200000 3.09430379 3.92300000 4.06321685
 1.21300000 1.31971083 3.80500000 3.80211023 1.11700000 1.17201760 0.53500000 0.73704883 3.03200000 3.06478394
 2.49900000 2.70203120 3.52300000 3.41499276 1.86400000 1.86929446 2.93400000 2.80509835 4.06700000 4.04685713
 0.95900000 1.07025628 3.73400000 3.62106183 1.94700000 1.88621539 3.89300000 3.90898075 0.90700000 0.77365512
 0.69100000 0.69964252 4.42300000 4.01928996 6.72700000 6.78189815 0.36000000 0.38129489 2.42300000 2.21626170
 3.29500000 3.32463971 4.59600000 4.63883070 6.81500000 6.74777755 2.94700000 2.96345902 1.46500000 1.47673608
 0.26600000 0.95794436 3.98100000 4.06140872 3.99800000 4.02045449 2.83100000 2.81516657 0.75400000 0.68316681
