# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 -1.52236468 -1.46782442 -1.87538410 -1.84176739 -3.24512543 -3.15618032 -2.94701519 -2.84635664 -0.91303052 -0.91929937
 -1.30082772 -1.28939787 -1.35162319 -1.38407917 -1.63555014 -1.57606825 -2.55449616 -2.51174361 -0.73013530 -0.71128834
 -0.62925083 -0.70247455 -1.74095112 -1.73707300 -1.13249379 -1.12055669 -0.76322999 -0.75026711 -2.24070018 -2.27824876
 -2.49562581 -2.49845252 -0.70976241 -0.73321591 -1.19095417 -1.37613008 -0.80113250 -0.86002258 -1.35584735 -1.36886651
 -2.83396071 -2.98032978 -1.01550977 -1.03240891 -0.71039824 -0.56684971 -1.63644936 -1.91238207 -1.13920317 -1.15689228
 -3.04575650 -2.92267143 -0.84834510 -0.79871495 -1.03910241 -1.03740102 -2.02519742 -2.04073027 -1.52236468 -1.48127064
 -1.04446516 -1.05497125 -0.49668063 -0.62138850 -2.94900943 -3.04314942 -1.85528013 -1.86200180 -2.99705829 -2.91231488
 -0.72228610 -0.71281338 -2.97342217 -2.99674926 -1.20203049 -1.22142644 -1.22695128 -1.27838161 -2.48544687 -2.44240307
 -1.49236492 -1.42165469 -0.93607601 -0.90837306 -0.97623123 -0.97890723 -2.02662940 -2.13492179 -3.12686300 -3.31044894
 -0.49548488 -0.51321063 -2.81449158 -2.76703313 -1.46158670 -1.46871543 -1.22397573 -1.23774121 -2.92806639 -2.91285594
 -0.71372070 -0.76758128 -2.16235789 -2.17014876 -1.97843105 -2.01031593 -0.58353459 -0.53663565 -2.28464753 -2.29340097
 -0.85117175 -0.86188963 -2.79490261 -2.63102154 -0.83019749 -0.81298744 -3.46230333 -3.45297744 -1.26040567 -1.29386498
 -0.92347134 -0.91674717 -1.38888281 -1.39275798 -1.72716038 -1.62927175 -2.77035315 -2.82929342 -1.34926354 -1.23183490
 -1.19014152 -1.12491780 -1.46688362 -1.45180857 -1.35322854 -1.32478391 -0.92813498 -0.87462044 -1.76853122 -1.85099074
 -1.33565780 -1.33271915 -1.34215900 -1.42466800 -0.71241652 -0.72210177 -2.05659750 -2.14073322 -1.18875437 -1.13692506
 -2.80583065 -2.75295260 -1.37656716 -1.49281882 -0.86464806 -0.83088988 -2.87434885 -3.02151339 -1.48889862 -1.43069884
 -1.52968618 -1.56855667 -2.33708973 -2.39445872 -1.67138147 -1.59898041 -1.09778134 -1.12415054 -0.42687529 -0.52573826
 -1.25649048 -1.27342226 -0.92830731 -0.90833297 -1.47009971 -1.40656801 -1.52105392 -1.52345346 -1.37585049 -1.37267545
 -1.10756320 -1.10551975 -1.40920862 -1.49457909 -1.38405526 -1.36805783 -1.64384124 -1.62216472 -1.40165455 -1.39478580
 -1.03460968 -0.85379363 -0.96747601 -1.00935618 -1.68239958 -1.60693631 -1.38935472 -1.39207652 -1.33565741 -1.31433746
 -0.26397431 -0.29724918 -1.58197415 -1.60939211 -0.64518009 -0.62657555 -2.92599006 -2.94124074 -1.62158968 -1.59104267
 -2.62651949 -2.60628720 -1.12146374 -1.11005389 -2.50863732 -2.33966482 -1.32985863 -1.31381552 -1.60586368 -1.59052422
 -0.80169067 -0.79422882 -1.18680064 -1.11146869 -0.97206039 -1.01628164 -1.13815077 -1.11476224 -1.77076257 -1.71901622
 -0.93944479 -0.96392955 -2.97345035 -2.84663880 -0.84349516 -0.83804353 -0.78782063 -0.71624739 -2.42549954 -2.43908176
 -1.28642780 -1.26900262 -2.31327746 -2.38591671 -0.80049402 -0.80694724 -1.38593322 -1.38228268 -0.39412740 -0.44703327
 -1.72973519 -1.72042827 -3.01613982 -2.84501876 -2.46633056 -2.40751363 -0.74787844 -0.77445917 -1.04614088 -1.07245251
 -1.44263326 -1.41243792 -0.82012324 -0.84412985 -0.97663658 -1.02530934 -0.89094977 -0.93808410 -0.72130069 -0.72810719
 -1.79046673 -1.78600413 -0.58973872 -0.72508092 -2.73152844 -2.65776395 -2.39075492 -2.37088571 -3.10154660 -2.95282831
 -0.91878512 -0.83067754 -1.39050674 -1.36900224 -1.11579820 -0.98461712 -3.07430452 -3.03789665 -0.72198850 -0.73496658
 -2.27643289 -2.31499563 -0.79510684 -0.89944924 -2.83673269 -2.79585378 -0.68647656 -0.65776124 -0.84826690 -0.88645239
 -2.04784069 -2.05291452 -1.47689749 -1.48179168 -1.75690878 -1.73772177 -1.65940998 -1.63461373 -1.75491560 -1.75720904
 -1.21138400 -1.19856518 -1.10369204 -1.16932206 -3.51839157 -3.44480671 -0.67915626 -0.56607574 -1.04486721 -0.99780456
 -0.98641500 -1.01392717 -2.06341410 -2.04569521 -1.32951982 -1.32418321 -1.36372418 -1.34618535 -1.35337247 -1.48111955
 -1.93942128 -1.88340938 -2.17768172 -2.28874472 -0.81412657 -0.82335286 -2.41400702 -2.49438609 -0.90986663 -0.96385872
 -0.93891553 -0.92854765 -2.37620893 -2.34832320 -1.03260624 -1.04821122 -2.54408081 -2.55975670 -0.59595726 -0.57450167
 -1.21927963 -1.11930754 -1.37529414 -1.32494946 -1.20905810 -1.19720199 -3.09872626 -3.06894251 -0.72852961 -0.92668059
 -1.83838516 -1.82421852 -1.02892705 -1.06595201 -1.63587114 -1.58291430 -1.05693798 -1.06904678 -1.18763207 -1.18262115
 -0.73883259 -0.63005474 -0.85617845 -0.86390575 -3.44810405 -3.34016643 -0.96581882 -1.06176249 -1.42115711 -1.38424688
 -1.07592076 -1.13797124 -2.50863732 -2.22442929 -1.21477895 -1.19110760 -1.14096394 -1.11505365 -1.09353406 -1.11251221
 -2.98232242 -2.90962669 -1.23666846 -1.21904332 -1.49649634 -1.39422823 -1.50913200 -1.47501319 -0.75621089 -0.68811194
 -0.90082639 -0.91188207 -1.27868599 -1.30369267 -0.61317800 -0.59197176 -2.84389922 -2.84332821 -1.38578244 -1.37726571
 -2.48734440 -2.49102434 -1.57233761 -1.55852743 -2.95670865 -2.93075223 -0.63370405 -0.64802838 -2.79186370 -2.71634566
 -0.45148651 -0.48378419 -1.50692744 -1.56877625 -2.25036466 -2.30650242 -1.31285370 -1.30993815 -1.55577801 -1.78285413
 -3.17052881 -2.94474449 -0.90887387 -0.91197447 -0.79882984 -0.75787737 -1.11531251 -1.09024867 -1.81152769 -1.86067097
 -1.10402770 -1.05256733 -0.93429591 -0.98481917 -1.04446516 -1.05569980 -1.66548567 -1.65043105 -2.86707748 -2.80857865
 -0.27826043 -0.33143308 -0.90346685 -0.93725376 -2.65946574 -2.81429283 -0.78345906 -0.78032881 -3.46028035 -3.43906121
 -0.80953072 -0.81308256 -1.73981161 -1.72537533 -0.81294412 -0.78157190 -1.30175183 -1.29804558 -1.22139706 -1.23275288
