# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 -1.05796585 -1.01560888 -1.49882526 -1.50698705 -3.04043438 -2.89435138 -1.75816156 -1.81774923 -0.93407048 -0.85326843
 -0.56316618 -0.60840521 -2.40706145 -2.36138918 -3.13800782 -3.01482300 -1.43110796 -1.42179915 -2.52910152 -2.46766957
 -2.11995083 -2.09523933 -0.84864311 -0.82595415 -3.05720423 -2.84649257 -2.61949374 -2.73340334 -1.22776256 -1.24473395
 -0.85841866 -0.85669307 -1.09568150 -1.06880351 -1.19095417 -1.48378052 -1.29219066 -1.30239798 -3.38875389 -3.39479144
 -2.62315576 -2.61025919 -2.03577877 -2.01401690 -3.34044957 -3.18329926 -1.82864993 -1.80255199 -0.82566381 -0.87189332
 -2.43317638 -2.47348860 -1.46864777 -1.37832635 -0.89750665 -0.87003259 -1.14674521 -1.37620586 -2.38849403 -2.44753029
 -0.48770946 -0.57060472 -2.77485499 -2.85428161 -1.20834379 -1.19725858 -0.63692307 -0.68964432 -1.51869088 -1.50119445
 -1.33481661 -1.27502242 -1.06738677 -1.09714729 -0.15620602 -0.32818018 -1.57017760 -1.50629507 -2.02295399 -1.97855512
 -2.82056611 -2.60875924 -1.45882523 -1.49013821 -1.75816156 -1.84671794 -2.16235789 -2.23276175 -0.92163522 -0.81303237
 -0.75252791 -0.76937726 -1.74702738 -1.73652835 -1.10451504 -1.05005096 -1.11405832 -1.11047893 -1.57139030 -1.59943819
 -2.32941811 -2.64892894 -3.26432907 -2.95306828 -1.37606639 -1.64393860 -1.34546402 -1.38043739 -1.24588299 -1.21515996
 -2.38580521 -2.38073920 -0.93188641 -0.97907368 -0.86780057 -0.86532697 -1.04736818 -1.04915912 -0.42687529 -0.45589976
 -1.36021891 -1.37058078 -0.90346685 -0.90756181 -1.29926271 -1.29865047 -1.31580685 -1.28417787 -2.76618830 -2.73337921
 -3.02354020 -3.03008224 -2.45052626 -2.29800815 -2.02213062 -2.03853670 -1.30082772 -1.28793375 -2.39185427 -2.36883278
 -1.56920504 -1.52817530 -0.81517509 -0.86467279 -1.35457661 -1.38399696 -0.73594396 -0.83033569 -3.48749435 -3.37806031
 -1.31581782 -1.30479852 -1.55924490 -1.52744499 -1.79887365 -1.73190004 -0.73913132 -0.83024688 -0.75643446 -0.82252881
