Number,A,B',B'',X,r_A,r_B',r_B'',r_X,χ_A,χ_B',χ_B'',χ_X,Formula,Formation energy per atom,Bandgap
400,Cs,N,Na,Cl,1.88,0.16,1.02,1.81,0.79,3.04,0.93,3.16,Cs2NNaCl6,-0.898455971,1.294
489,Cs,N,Na,Br,1.88,0.16,1.02,1.96,0.79,3.04,0.93,2.96,Cs2NNaBr6,-0.766597037,0.796
580,Cs,N,Na,I,1.88,0.16,1.02,2.20,0.79,3.04,0.93,2.66,Cs2NNaI6,-0.576691272,0.31
924,K,N,Na,F,1.64,0.16,1.02,1.33,0.82,3.04,0.93,3.98,K2NNaF6,-1.924024933,2.948
1161,K,N,Na,Cl,1.64,0.16,1.02,1.81,0.82,3.04,0.93,3.16,K2NNaCl6,-0.858418656,1.305
1392,K,N,Na,I,1.64,0.16,1.02,2.20,0.82,3.04,0.93,2.66,K2NNaI6,-0.498764882,0.252
1443,K,N,Tl,Br,1.64,0.16,1.50,1.96,0.82,3.04,1.62,2.96,K2NTlBr6,-0.602955981,0.047
1447,K,N,Tl,I,1.64,0.16,1.50,2.20,0.82,3.04,1.62,2.66,K2NTlI6,-0.407625116,0.028
2063,Na,N,Tl,F,1.39,0.16,1.50,1.33,0.93,3.04,1.62,3.98,Na2NTlF6,-1.53331113,0.47
2159,Na,N,Tl,Br,1.39,0.16,1.50,1.96,0.93,3.04,1.62,2.96,Na2NTlBr6,-0.423818169,0.045
2167,Na,N,Tl,I,1.39,0.16,1.50,2.20,0.93,3.04,1.62,2.66,Na2NTlI6,-0.231486304,0.032
2492,Rb,N,Na,F,1.72,0.16,1.02,1.33,0.82,3.04,0.93,3.98,Rb2NNaF6,-1.909210908,2.901
2718,Rb,N,Na,Cl,1.72,0.16,1.02,1.81,0.82,3.04,0.93,3.16,Rb2NNaCl6,-0.880377131,1.306
2818,Rb,N,Tl,F,1.72,0.16,1.50,1.33,0.82,3.04,1.62,3.98,Rb2NTlF6,-1.696857166,0.843
2837,Rb,N,Na,Br,1.72,0.16,1.02,1.96,0.82,3.04,0.93,2.96,Rb2NNaBr6,-0.737429197,0.76
2945,Rb,N,Na,I,1.72,0.16,1.02,2.20,0.82,3.04,0.93,2.66,Rb2NNaI6,-0.535574882,0.284
3013,Rb,N,Tl,Br,1.72,0.16,1.50,1.96,0.82,3.04,1.62,2.96,Rb2NTlBr6,-0.636175705,0.043
3376,Tl,N,Na,F,1.70,0.16,1.02,1.33,1.62,3.04,0.93,3.98,Tl2NNaF6,-1.457650639,2.075
3489,Tl,N,Na,Cl,1.70,0.16,1.02,1.81,1.62,3.04,0.93,3.16,Tl2NNaCl6,-0.462296862,1.34
3578,Tl,N,Na,Br,1.70,0.16,1.02,1.96,1.62,3.04,0.93,2.96,Tl2NNaBr6,-0.332451678,0.718
3674,Tl,N,Na,I,1.70,0.16,1.02,2.20,1.62,3.04,0.93,2.66,Tl2NNaI6,-0.142466263,0.227
1,Cs,B,Cu,Cl,1.88,0.27,0.77,1.81,0.79,2.04,1.9,3.16,Cs2BCuCl6,-0.802805555,9.999
240,Cs,B,Tl,Cl,1.88,0.27,1.50,1.81,0.79,2.04,1.62,3.16,Cs2BTlCl6,-1.04736818,2.634
278,Cs,B,Na,Cl,1.88,0.27,1.02,1.81,0.79,2.04,0.93,3.16,Cs2BNaCl6,-1.193908921,2.261
297,Cs,B,Li,Cl,1.88,0.27,0.76,1.81,0.79,2.04,0.98,3.16,Cs2BLiCl6,-1.159302686,2.115
416,Cs,B,Cu,F,1.88,0.27,0.77,1.33,0.79,2.04,1.9,3.98,Cs2BCuF6,-2.143004831,1.192
453,Cs,B,Na,Br,1.88,0.27,1.02,1.96,0.79,2.04,0.93,2.96,Cs2BNaBr6,-0.925265987,0.975
479,Cs,B,Li,Br,1.88,0.27,0.76,1.96,0.79,2.04,0.98,2.96,Cs2BLiBr6,-0.895149502,0.843
654,K,B,Li,F,1.64,0.27,0.76,1.33,0.82,2.04,0.98,3.98,K2BLiF6,-2.727696898,7.164
662,K,B,Na,F,1.64,0.27,1.02,1.33,0.82,2.04,0.93,3.98,K2BNaF6,-2.722180133,6.678
994,K,B,Tl,Cl,1.64,0.27,1.50,1.81,0.82,2.04,1.62,3.16,K2BTlCl6,-0.979263615,2.43
1005,K,B,Na,Cl,1.64,0.27,1.02,1.81,0.82,2.04,0.93,3.16,K2BNaCl6,-1.164370106,2.35
1037,K,B,Li,Cl,1.64,0.27,0.76,1.81,0.82,2.04,0.98,3.16,K2BLiCl6,-1.157108621,2.12
1113,K,B,Tl,F,1.64,0.27,1.50,1.33,0.82,2.04,1.62,3.98,K2BTlF6,-1.901910391,1.59
1138,K,B,Tl,Br,1.64,0.27,1.50,1.96,0.82,2.04,1.62,2.96,K2BTlBr6,-0.67547868,1.462
1189,K,B,Cu,F,1.64,0.27,0.77,1.33,0.82,2.04,1.9,3.98,K2BCuF6,-2.249813016,1.149
1229,K,B,Na,Br,1.64,0.27,1.02,1.96,0.82,2.04,0.93,2.96,K2BNaBr6,-0.869275172,0.963
1289,K,B,Li,Br,1.64,0.27,0.76,1.96,0.82,2.04,0.98,2.96,K2BLiBr6,-0.859119437,0.694
1488,Na,B,Li,F,1.39,0.27,0.76,1.33,0.93,2.04,0.98,3.98,Na2BLiF6,-2.733552337,7.128
1520,Na,B,Tl,F,1.39,0.27,1.50,1.33,0.93,2.04,1.62,3.98,Na2BTlF6,-2.30091008,4.192
1762,Na,B,Tl,Cl,1.39,0.27,1.50,1.81,0.93,2.04,1.62,3.16,Na2BTlCl6,-0.805469303,2.231
1931,Na,B,Tl,Br,1.39,0.27,1.50,1.96,0.93,2.04,1.62,2.96,Na2BTlBr6,-0.543527869,1.218
1937,Na,B,Li,Cl,1.39,0.27,0.76,1.81,0.93,2.04,0.98,3.16,Na2BLiCl6,-0.89950806,1.153
2010,Na,B,Li,Br,1.39,0.27,0.76,1.96,0.93,2.04,0.98,2.96,Na2BLiBr6,-0.711417126,0.722
2026,Na,B,Cu,F,1.39,0.27,0.77,1.33,0.93,2.04,1.9,3.98,Na2BCuF6,-2.194187955,0.667
2107,Na,B,Tl,I,1.39,0.27,1.50,2.20,0.93,2.04,1.62,2.66,Na2BTlI6,-0.207411079,0.265
2204,Rb,B,Li,F,1.72,0.27,0.76,1.33,0.82,2.04,0.98,3.98,Rb2BLiF6,-2.662840373,6.664
2550,Rb,B,Tl,Cl,1.72,0.27,1.50,1.81,0.82,2.04,1.62,3.16,Rb2BTlCl6,-1.013276339,2.498
2572,Rb,B,Na,Cl,1.72,0.27,1.02,1.81,0.82,2.04,0.93,3.16,Rb2BNaCl6,-1.182296831,2.321
2599,Rb,B,Li,Cl,1.72,0.27,0.76,1.81,0.82,2.04,0.98,3.16,Rb2BLiCl6,-1.163227846,2.123
2689,Rb,B,Tl,F,1.72,0.27,1.50,1.33,0.82,2.04,1.62,3.98,Rb2BTlF6,-1.996279866,1.516
2700,Rb,B,Tl,Br,1.72,0.27,1.50,1.96,0.82,2.04,1.62,2.96,Rb2BTlBr6,-0.757808905,1.435
2752,Rb,B,Cu,F,1.72,0.27,0.77,1.33,0.82,2.04,1.9,3.98,Rb2BCuF6,-2.205330991,1.138
2783,Rb,B,Na,Br,1.72,0.27,1.02,1.96,0.82,2.04,0.93,2.96,Rb2BNaBr6,-0.897506647,0.981
2847,Rb,B,Li,Br,1.72,0.27,0.76,1.96,0.82,2.04,0.98,2.96,Rb2BLiBr6,-0.878706412,0.718
3075,Tl,B,Li,F,1.70,0.27,0.76,1.33,1.62,2.04,0.98,3.98,Tl2BLiF6,-2.213451354,4.223
3077,Tl,B,Na,F,1.70,0.27,1.02,1.33,1.62,2.04,0.93,3.98,Tl2BNaF6,-2.242883838,4.213
3177,Tl,B,Hg,F,1.70,0.27,1.19,1.33,1.62,2.04,2,3.98,Tl2BHgF6,-1.791503987,3.237
3324,Tl,B,Na,Cl,1.70,0.27,1.02,1.81,1.62,2.04,0.93,3.16,Tl2BNaCl6,-0.769112562,2.414
3422,Tl,B,Cu,F,1.70,0.27,0.77,1.33,1.62,2.04,1.9,3.98,Tl2BCuF6,-1.767790972,1.797
3529,Tl,B,Na,Br,1.70,0.27,1.02,1.96,1.62,2.04,0.93,2.96,Tl2BNaBr6,-0.496680627,0.988
3565,Tl,B,Li,Cl,1.70,0.27,0.76,1.81,1.62,2.04,0.98,3.16,Tl2BLiCl6,-0.629250827,0.755
3570,Tl,B,Li,Br,1.70,0.27,0.76,1.96,1.62,2.04,0.98,2.96,Tl2BLiBr6,-0.488861643,0.74
286,Cs,P,Tl,F,1.88,0.44,1.50,1.33,0.79,2.19,1.62,3.98,Cs2PTlF6,-2.347586435,2.181
451,Cs,P,Tl,Br,1.88,0.44,1.50,1.96,0.79,2.19,1.62,2.96,Cs2PTlBr6,-1.011241974,0.985
493,Cs,P,Tl,I,1.88,0.44,1.50,2.20,0.79,2.19,1.62,2.66,Cs2PTlI6,-0.744394459,0.782
1028,K,P,Tl,F,1.64,0.44,1.50,1.33,0.82,2.19,1.62,3.98,K2PTlF6,-2.29014487,2.193
1212,K,P,Tl,Cl,1.64,0.44,1.50,1.81,0.82,2.19,1.62,3.16,K2PTlCl6,-1.110950843,1.058
1272,K,P,Tl,Br,1.64,0.44,1.50,1.96,0.82,2.19,1.62,2.96,K2PTlBr6,-0.913347909,0.761
1295,K,P,Tl,I,1.64,0.44,1.50,2.20,0.82,2.19,1.62,2.66,K2PTlI6,-0.640821644,0.673
1860,Na,P,Tl,F,1.39,0.44,1.50,1.33,0.93,2.19,1.62,3.98,Na2PTlF6,-2.115333308,1.638
