# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 -0.83909404 -0.83213093 -1.83183423 -1.83196610 -1.11570775 -1.13426897 -2.08444667 -2.07946422 -0.88037713 -0.88389094
 -1.60311634 -1.61116277 -1.15660891 -1.15998398 -2.10212397 -2.09389485 -0.71747402 -0.70141161 -2.77718506 -2.78838106
 -2.53670401 -2.53511171 -1.52024072 -1.51946071 -2.94900943 -2.98662184 -3.43318051 -3.41391622 -1.75597677 -1.76232079
 -1.00017087 -1.00492829 -0.93891553 -0.93772664 -3.40822076 -3.43814519 -1.83367869 -1.82653069 -2.46722568 -2.42370225
 -2.83524318 -2.91501107 -3.14912950 -3.13882752 -3.36257277 -3.35858527 -1.51869088 -1.51448043 -1.99800028 -1.99786606
 -1.16926723 -1.17682191 -1.14674521 -1.13564959 -1.16116860 -1.15588218 -1.09617877 -1.09872112 -0.41790015 -0.39934972
 -1.03224313 -1.03824114 -1.28642780 -1.27279023 -1.91547275 -1.91205159 -2.41400702 -2.45772003 -1.30252218 -1.31994416
 -1.82298174 -1.82699971 -2.80187289 -2.80475189 -1.20905810 -1.20231572 -2.73152844 -2.73514106 -1.14640894 -1.14504478
 -2.41091055 -2.46151962 -0.96173171 -0.96789788 -2.89872914 -2.88725299 -0.91864123 -0.90907327 -1.17299738 -1.18763553
 -3.36257277 -3.36592042 -1.11781978 -1.11664451 -2.53172265 -2.51587835 -1.17372554 -1.15463714 -2.57694694 -2.65753588
 -1.13033005 -1.12909992 -2.16759803 -2.13867506 -1.18355995 -1.18897033 -2.70616363 -2.76899390 -1.55945164 -1.56250308
 -1.09833343 -1.09821636 -1.36836885 -1.36400363 -2.27135735 -2.28376603 -1.22681347 -1.24264968 -2.60571190 -2.58769723
 -2.62457227 -2.61903497 -1.42487685 -1.42721561 -1.14961712 -1.16312532 -1.48218695 -1.47828999 -1.11075482 -1.09726302
 -0.98405020 -0.99811619 -0.34205636 -0.38072688 -1.20176008 -1.22045296 -1.08187780 -1.05486207 -1.86944448 -1.79310976
 -2.67587023 -2.52209180 -1.31119895 -1.29618992 -1.38970911 -1.38167494 -3.01893798 -3.01748398 -0.88563152 -0.84155851
 -1.49793829 -1.48521434 -1.88058699 -1.86317211 -2.77361493 -2.80627335 -1.30817479 -1.30351696 -1.37548230 -1.37080111
 -0.40059583 -0.42277016 -2.26256816 -2.23788603 -2.68109966 -2.69556506 -1.13920317 -1.13331190 -1.79277698 -1.80149827
 -1.58943910 -1.59014962 -3.40822076 -3.42502893 -1.45584638 -1.45016591 -3.02407641 -3.00845418 -2.49546929 -2.48953179
 -1.52358378 -1.52168396 -2.77035315 -2.80564969 -1.10912054 -1.11031907 -0.62361398 -0.61682420 -1.35717413 -1.35516618
 -0.99731152 -1.00806797 -1.41615997 -1.42365363 -1.13779191 -1.14032391 -1.36836885 -1.38158165 -1.54718019 -1.55663207
 -0.84120838 -0.83701259 -1.53118052 -1.52652369 -1.36022594 -1.35389790 -2.54057762 -2.45600079 -3.20464534 -3.20778904
 -1.15710179 -1.16061869 -1.36970552 -1.35166421 -1.40359993 -1.40599997 -0.89296932 -0.88422955 -1.17181954 -1.17532767
 -2.25162177 -2.29238563 -1.21595997 -1.21887993 -1.34991102 -1.34439465 -1.52008493 -1.52316321 -2.03526177 -2.03698728
 -1.46871867 -1.46924166 -1.15048786 -1.14646092 -2.41824197 -2.42261773 -0.73525112 -0.70678461 -1.58623841 -1.58733835
 -0.73195250 -0.70050229 -1.12726267 -1.12674988 -2.98641415 -2.99096435 -0.93148860 -0.90013210 -0.59595726 -0.58719924
 -1.40961873 -1.40274660 -0.92163522 -0.90540946 -1.02885714 -1.03415865 -0.85688603 -0.85503281 -1.38026265 -1.39233305
 -1.18889522 -1.15070970 -2.22120920 -2.21130430 -0.78345906 -0.78455927 -0.72198850 -0.71574830 -1.36372418 -1.33086594
 -1.75928829 -1.76785456 -2.04784069 -2.05470717 -1.33549472 -1.34489267 -1.57151935 -1.57896600 -0.97994917 -0.96974672
 -0.96438254 -0.96759715 -1.46688362 -1.46719639 -1.65510762 -1.66406842 -1.38593322 -1.38402424 -0.37761505 -0.38606429
 -1.36206693 -1.35818266 -1.40960673 -1.41386823 -1.49153210 -1.49619908 -1.77108554 -1.77348701 -3.00999896 -2.92022799
 -0.75252791 -0.70230286 -2.66076013 -2.66668845 -2.00906518 -2.04844637 -1.28956373 -1.28662678 -1.09709469 -1.09599356
 -0.41184309 -0.38768136 -1.56402467 -1.56478096 -2.43118930 -2.32612854 -1.82302154 -1.81602402 -2.81527075 -2.85098291
 -2.58581239 -2.52975521 -2.26819788 -2.26103965 -1.10211791 -1.07626517 -0.60493871 -0.61750363 -2.46132128 -2.46432414
 -1.50984228 -1.53361556 -1.19390892 -1.19409372 -2.11817632 -2.12048936 -0.87200208 -0.88585936 -1.27428041 -1.28541648
 -1.35394236 -1.36765663 -2.53712302 -2.53901342 -0.89430924 -0.87975212 -2.19341241 -2.20705492 -1.30382563 -1.31723675
 -2.08110343 -2.08463763 -1.68898012 -1.68191837 -1.52073874 -1.51221824 -1.07873572 -1.07306624 -1.23485336 -1.23060683
 -0.51428828 -0.49908430 -1.55577801 -1.59319201 -0.88258474 -0.88062883 -1.52833351 -1.53064527 -1.56295328 -1.55130630
 -1.13919077 -1.14418209 -1.22280234 -1.22201299 -0.97264567 -0.97847831 -1.12203409 -1.12739806 -0.35805695 -0.35587778
 -0.93479721 -0.93900218 -1.29511836 -1.28502787 -0.91825128 -0.90884933 -1.48566475 -1.48414786 -1.48408403 -1.47762815
 -0.38549486 -0.37204306 -0.93918421 -0.93405186 -1.68308759 -1.67419569 -1.36222963 -1.37328106 -2.92491996 -2.93762333
 -3.45100687 -3.44744644 -3.39025767 -3.37276615 -1.49658423 -1.50049038 -1.26040567 -1.26228830 -1.03940197 -1.03476540
 -1.13119200 -1.13195759 -1.25386282 -1.26659251 -1.62347873 -1.62633969 -0.58607803 -0.62230338 -1.13267692 -1.12699712
 -2.29363382 -2.19284959 -0.45009791 -0.44793143 -2.93786161 -2.94376773 -1.13034226 -1.14028456 -0.53408332 -0.54348040
 -1.45954382 -1.46387190 -0.80606935 -0.80864228 -0.80226331 -0.79191365 -3.07802171 -3.08943804 -0.58530808 -0.59252448
 -1.06499892 -1.06263045 -2.69235682 -2.70467085 -1.22261127 -1.21667013 -1.29219066 -1.29525399 -1.41591143 -1.41700808
 -2.24829488 -2.24015836 -2.59888813 -2.58517162 -1.40073888 -1.39792449 -1.81293811 -1.81582654 -1.09241828 -1.07613842
 -0.75168272 -0.69497249 -1.56067377 -1.55532441 -1.13418488 -1.12847979 -1.13104683 -1.12380780 -0.97409419 -0.96260188
 -1.70278920 -1.70801663 -0.76190128 -0.80806786 -1.06574035 -1.07501061 -1.81397825 -1.78913636 -0.99271441 -0.99073310
 -1.38368779 -1.38787328 -2.13093001 -2.12778803 -0.68369389 -0.66288925 -2.05899304 -2.14583190 -1.11798110 -1.12563996
 -0.70544961 -0.72786549 -0.85043629 -0.85779419 -2.78768410 -2.77207554 -1.12611712 -1.13449186 -1.45231239 -1.55235576
 -1.43279462 -1.43434147 -1.36567189 -1.37215951 -3.43318051 -3.41974089 -1.01704080 -1.01966222 -1.35789321 -1.35112065
 -1.54028276 -1.54902313 -1.36021891 -1.35831726 -0.95201764 -0.95983647 -2.97785063 -2.92241789 -3.16787052 -3.16925441
 -2.97962342 -2.97578054 -3.13762636 -3.19287396 -1.75491710 -1.78252009 -0.35805695 -0.34659048 -0.77954773 -0.77630428
 -1.87538410 -1.87170257 -1.10740112 -1.11385482 -0.92526599 -0.95393644 -1.10740112 -1.07914469 -0.67915626 -0.65679685
 -3.46844413 -3.46643036 -2.56262697 -2.77074183 -1.43041750 -1.39372743 -3.03195569 -3.02822318 -2.56262697 -2.77025092
 -1.55244476 -1.46254804 -1.22881801 -1.22763933 -2.61949374 -2.63482679 -0.96430495 -0.96537532 -0.93148860 -0.93604630
 -0.97680466 -0.98093014 -2.97774245 -2.98080707 -1.52851974 -1.52146233 -2.29979817 -2.30204268 -3.20989388 -3.20329451
 -0.36273998 -0.35957152 -1.31189767 -1.30930938 -3.21888706 -3.24224923 -2.82076107 -2.81222773 -0.80847541 -0.80416850
 -1.51711760 -1.51585566 -1.51181281 -1.51270059 -0.52112099 -0.51759228 -2.86594657 -2.93116860 -0.83158413 -0.85293810
 -0.66649486 -0.60791576 -0.41341534 -0.47595971 -1.07873572 -1.07584364 -1.38237991 -1.34607649 -2.93989763 -2.94809698
 -1.27428041 -1.27240226 -0.85841866 -0.88086212 -1.74095112 -1.73095224 -1.45776419 -1.45619155 -0.92643122 -0.86803256
 -0.88498421 -0.90349253 -2.98779476 -2.99855598 -1.18134581 -1.18541406 -1.57300640 -1.58396529 -0.38541886 -0.39972497
 -0.94007530 -0.94223101 -3.06286363 -3.08144168 -0.53979403 -0.50341612 -2.55192758 -2.52979286 -1.41383325 -1.40619761
 -1.23409606 -1.21836441 -0.51365324 -0.44340583 -1.40491109 -1.40996236 -0.64584884 -0.67623028 -1.75248290 -1.75310259
 -0.90891976 -0.91551681 -1.31043980 -1.32566539 -0.84864311 -0.84523997 -2.95210616 -2.95379411 -1.31189767 -1.32092299
