# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 -1.05796585 -1.05405582 -2.64752594 -2.59035553 -1.12203409 -1.10792696 -0.72968564 -0.72167449 -1.78709529 -1.79354888
 -0.56316618 -0.55385034 -1.70046213 -1.73545015 -0.38549486 -0.37567729 -0.95364103 -0.93959733 -0.90838097 -0.90033573
 -2.11995083 -2.12073201 -1.08693579 -1.07319378 -0.19337479 -0.11869794 -1.12834894 -1.12216500 -0.86741499 -0.87090866
 -0.85841866 -0.85190846 -1.59969742 -1.60343293 -1.11838711 -1.11705403 -1.36639077 -1.36124004 -1.51987169 -1.49023734
 -2.62315576 -2.55962973 -1.25386282 -1.29302821 -0.92106369 -0.92291492 -1.47070433 -1.45857558 -1.25866776 -1.25218421
 -2.43317638 -2.36030032 -0.96591919 -0.94064712 -2.41031813 -2.41082249 -1.16116860 -1.15746287 -0.88651212 -0.89013954
 -0.48770946 -0.54949010 -0.75828942 -0.74832889 -2.29676319 -2.26190755 -3.48309571 -3.46706572 -2.92491996 -2.92528333
 -1.33481661 -1.34280246 -1.43949354 -1.43373681 -3.43094410 -3.45425011 -1.11887125 -1.11363825 -2.77765982 -2.78727547
 -2.82056611 -2.76920626 -0.89910098 -0.98007202 -1.59737116 -1.58191650 -1.77359756 -1.78354400 -1.36836885 -1.36209248
 -0.75252791 -0.73843035 -1.25701215 -1.25121104 -1.34186306 -1.34372475 -2.50825673 -2.47167129 -0.89296932 -0.90126974
 -2.32941811 -2.31403849 -2.17089699 -1.87474736 -1.11887125 -1.11306585 -1.36929674 -1.36344409 -0.58942836 -0.60654530
 -2.38580521 -2.44180749 -0.50098487 -0.44910006 -1.33549472 -1.34125872 -0.90838097 -0.89777614 -2.30872050 -2.30630089
 -1.36021891 -1.36059576 -0.75713379 -0.76217745 -1.14329950 -1.15440326 -0.55506336 -0.55258662 -0.67734572 -0.67657050
 -3.02354020 -3.04177955 -0.75791197 -0.75921251 -1.61041463 -1.59498556 -1.56669267 -1.55720163 -1.41765253 -1.41348047
 -1.56920504 -1.57410668 -1.20998023 -1.19749530 -1.08727823 -1.09928582 -0.39735997 -0.41686272 -0.87858567 -0.88970070
 -1.31581782 -1.31982430 -1.31680723 -1.27447436 -1.29566691 -1.32560169 -1.98681426 -1.99216593 -0.45429264 -0.43486545
 -1.75166274 -1.74681529 -0.57563796 -0.57078890 -0.85524458 -0.84866886 -1.58197415 -1.62530274 -0.76586431 -0.76749328
 -0.85043629 -0.84461548 -2.81076259 -2.86388130 -1.84281587 -1.84177512 -1.64597989 -1.61882458 -3.02121845 -3.02884952
