# Fold1_True Fold1_Pred Fold2_True Fold2_Pred Fold3_True Fold3_Pred Fold4_True Fold4_Pred Fold5_True Fold5_Pred
 1.30600000 1.13897741 2.09600000 3.00512313 1.05500000 0.92351821 0.60400000 0.48654300 2.09600000 1.78584533
 0.48600000 0.55433294 4.21200000 3.96640906 0.18000000 0.23364387 5.39700000 4.96916978 0.03500000 0.56876616
 3.63000000 3.41447454 0.00000000 0.48898908 1.52200000 1.40548978 0.65700000 1.14562181 2.54100000 2.41199923
 1.30500000 1.38770349 1.53300000 1.84275332 0.26200000 0.31376931 1.30600000 1.08978008 1.30500000 1.07800200
 1.02200000 1.30063199 1.13000000 0.85882538 0.39000000 0.40966214 4.11200000 3.46011354 2.47500000 2.50130269
 2.27100000 3.35237837 0.89900000 1.14731893 2.30700000 0.80088074 4.80700000 4.62653547 3.41600000 3.26408530
 0.80200000 1.17437564 3.28500000 2.82995315 0.05600000 0.16096880 6.96300000 6.87660798 2.91900000 1.18234533
 1.22800000 1.17011913 2.77800000 2.71460382 1.54400000 1.55726408 6.49500000 6.18979991 0.64900000 0.68351248
 0.08000000 0.68697609 4.01700000 4.06942526 0.86000000 1.04066735 4.12300000 4.58550638 1.27500000 1.73673825
 0.57700000 0.57643211 4.08400000 2.55696706 0.97200000 0.81484030 0.01300000 0.42343251 6.87000000 6.39820170
 0.84900000 1.79403100 2.35000000 1.77609387 2.51500000 2.27130721 0.57400000 0.34786803 3.27200000 3.14648509
 3.12300000 2.81108828 1.87800000 1.88906619 3.14100000 2.85032532 0.08200000 0.87417174 0.70700000 1.22327120
 2.09600000 1.80408613 4.37500000 4.13807426 4.89100000 4.19692041 3.94100000 3.04638809 1.22700000 1.39547776
 4.44300000 4.44080981 0.45500000 1.22734664 3.74200000 3.05755279 1.89100000 1.90879698 1.26600000 0.87023926
 2.82300000 2.78843277 2.60100000 2.75419053 0.78700000 0.88974134 2.41400000 1.71310613 3.08900000 3.12474403
 2.78000000 2.68082492 1.92100000 1.60065256 1.39900000 1.17833181 0.80200000 1.21682481 0.36000000 0.12510487
 2.85700000 2.79092952 2.73700000 2.65198397 4.52500000 4.53678189 0.61500000 0.50578263 1.63700000 1.45778131
