 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82000000E-02  0.45166569E+04  0.45166798E+04  0.45166263E+04  0.21189178E+02  0.13140970E+02  0.15548606E+02
  0.16300000E-01  0.63486336E+04  0.63486659E+04  0.63485906E+04  0.30907595E+02  0.20233770E+02  0.20233770E+02
  0.24500000E-01  0.77914957E+04  0.77915353E+04  0.77914363E+04  0.35117587E+02  0.24831884E+02  0.24831884E+02
  0.32700000E-01  0.90062305E+04  0.90062915E+04  0.90061696E+04  0.40591674E+02  0.23435614E+02  0.33142963E+02
  0.40900000E-01  0.10075763E+05  0.10075806E+05  0.10075678E+05  0.50770626E+02  0.29312435E+02  0.29312435E+02
  0.49000000E-01  0.11019874E+05  0.11019930E+05  0.11019762E+05  0.49663767E+02  0.35117587E+02  0.35117587E+02
  0.57200000E-01  0.11910269E+05  0.11910339E+05  0.11910198E+05  0.57974847E+02  0.40994407E+02  0.40994407E+02
  0.65400000E-01  0.12738889E+05  0.12738889E+05  0.12738803E+05  0.66285926E+02  0.46871228E+02  0.46871228E+02
  0.73500000E-01  0.13498624E+05  0.13498727E+05  0.13498522E+05  0.52676380E+02  0.52676380E+02  0.52676380E+02
  0.81700000E-01  0.14235534E+05  0.14235655E+05  0.14235414E+05  0.58553201E+02  0.58553201E+02  0.58553201E+02
  0.89900000E-01  0.14936374E+05  0.14936513E+05  0.14936374E+05  0.64430021E+02  0.00000000E+00  0.64430021E+02
  0.98100000E-01  0.15606219E+05  0.15606219E+05  0.15606060E+05  0.70306842E+02  0.00000000E+00  0.70306842E+02
  0.10620000E+00  0.16233281E+05  0.16233459E+05  0.16233281E+05  0.76111994E+02  0.00000000E+00  0.76111994E+02
  0.11440000E+00  0.16852242E+05  0.16852242E+05  0.16852042E+05  0.81988815E+02  0.00000000E+00  0.00000000E+00
  0.12260000E+00  0.17449460E+05  0.17449682E+05  0.17449460E+05  0.87865635E+02  0.00000000E+00  0.00000000E+00
  0.13070000E+00  0.18013552E+05  0.18013796E+05  0.18013552E+05  0.93670787E+02  0.00000000E+00  0.00000000E+00
  0.13890000E+00  0.18574367E+05  0.18574367E+05  0.18574101E+05  0.99547608E+02  0.00000000E+00  0.00000000E+00
  0.14710000E+00  0.19119062E+05  0.19119062E+05  0.19118772E+05  0.10542443E+03  0.00000000E+00  0.00000000E+00
  0.15530000E+00  0.19649005E+05  0.19649005E+05  0.19648690E+05  0.11130125E+03  0.00000000E+00  0.00000000E+00
  0.16340000E+00  0.20152851E+05  0.20153192E+05  0.20152851E+05  0.11710640E+03  0.00000000E+00  0.00000000E+00
  0.17160000E+00  0.20657155E+05  0.20657521E+05  0.20657155E+05  0.12298322E+03  0.00000000E+00  0.00000000E+00
  0.17980000E+00  0.21149933E+05  0.21149933E+05  0.21149541E+05  0.12886004E+03  0.00000000E+00  0.00000000E+00
  0.18790000E+00  0.21620370E+05  0.21620370E+05  0.21619951E+05  0.13466519E+03  0.00000000E+00  0.00000000E+00
  0.19610000E+00  0.22092382E+05  0.22092382E+05  0.22091935E+05  0.14054202E+03  0.00000000E+00  0.00000000E+00
  0.20430000E+00  0.22554680E+05  0.22555155E+05  0.22554680E+05  0.14641884E+03  0.00000000E+00  0.00000000E+00
  0.21250000E+00  0.23008744E+05  0.23008744E+05  0.23008744E+05  0.15229566E+03  0.00000000E+00  0.00000000E+00
  0.22060000E+00  0.23443743E+05  0.23443743E+05  0.23443210E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22880000E+00  0.23881134E+05  0.23881697E+05  0.23881134E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23700000E+00  0.24311744E+05  0.24311744E+05  0.24311744E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24520000E+00  0.24735074E+05  0.24735698E+05  0.24735074E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25330000E+00  0.25142631E+05  0.25142631E+05  0.25141975E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26150000E+00  0.25552887E+05  0.25552887E+05  0.25552887E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26970000E+00  0.25957783E+05  0.25957783E+05  0.25957783E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27780000E+00  0.26347602E+05  0.26347602E+05  0.26347602E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28600000E+00  0.26741585E+05  0.26741585E+05  0.26741585E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29420000E+00  0.27129948E+05  0.27129948E+05  0.27129948E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30240000E+00  0.27513920E+05  0.27513920E+05  0.27513920E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31050000E+00  0.27883921E+05  0.27883921E+05  0.27883921E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31870000E+00  0.28258928E+05  0.28258928E+05  0.28258928E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32690000E+00  0.28628757E+05  0.28629716E+05  0.28628757E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33500000E+00  0.28987280E+05  0.28987280E+05  0.28986286E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34320000E+00  0.29349476E+05  0.29349476E+05  0.29349476E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35140000E+00  0.29707899E+05  0.29707899E+05  0.29707899E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35960000E+00  0.30062802E+05  0.30062802E+05  0.30062802E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36770000E+00  0.30406062E+05  0.30406062E+05  0.30406062E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37590000E+00  0.30754342E+05  0.30754342E+05  0.30754342E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38410000E+00  0.31099204E+05  0.31099204E+05  0.31099204E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39220000E+00  0.31433691E+05  0.31433691E+05  0.31433691E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40040000E+00  0.31772411E+05  0.31772411E+05  0.31772411E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40860000E+00  0.32108152E+05  0.32108152E+05  0.32108152E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41680000E+00  0.32441824E+05  0.32441824E+05  0.32441824E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42490000E+00  0.32765238E+05  0.32765238E+05  0.32765238E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
